SEQN,RIAGENDR,RIDAGEYR,DMDMARTZ,RIDEXPRG,WTINTPRP,WTMECPRP,INDFMPIR
109263,1,2,,,7891.762435,8951.815567,4.66
109264,2,13,,,11689.74726,12271.15704,0.83
109265,1,2,,,16273.82594,16658.7642,3.06
109266,2,29,3,2,7825.646112,8154.968193,5
109267,2,21,3,3,26379.99172,0,5
109268,2,18,,,19639.22101,0,1.66
109269,1,2,,,5906.250521,6848.271782,0.96
109270,2,11,,,4613.057696,4886.930378,1.88
109271,1,49,3,,8481.589837,8658.732873,
109272,1,0,,,7037.380216,7872.776233,0.73
109273,1,36,3,,20171.84777,22163.59685,0.83
109274,1,68,3,,7227.993241,7801.600218,1.2
109275,1,6,,,16372.53397,17610.32683,3.74
109276,1,0,,,1652.540459,1810.573063,0
109277,2,12,,,16385.74331,17519.41814,1.35
109278,2,6,,,10119.75928,10958.7083,
109279,2,17,,,11041.63381,11167.79504,1.19
109280,2,2,,,14332.24628,16115.05727,1.71
109281,2,0,,,2116.528118,2301.303575,0.94
109282,1,76,1,,28363.01529,31816.3465,3.61
109283,1,52,2,,42539.68045,0,0.96
109284,2,44,1,2,13822.80372,13794.79354,
109285,1,16,,,27778.64567,29931.00931,2.39
109286,2,33,1,1,13776.53494,14547.46716,1.36
109287,2,11,,,7296.432792,8692.74169,0.59
109288,1,5,,,6125.306254,7144.714446,0.21
109289,1,2,,,1828.133543,2018.367976,0.66
109290,2,68,2,,3967.693106,4099.841985,5
109291,2,42,1,2,15845.54315,17228.61781,
109292,1,58,2,,15941.778,17463.11289,1.6
109293,1,44,3,,12006.07013,12160.98047,0.02
109294,2,0,,,2617.289014,2956.808889,5
109295,2,54,1,,9559.577848,9951.368904,5
109296,1,10,,,2515.973672,2743.6759,2.34
109297,2,30,3,2,13785.39915,14974.37289,
109298,1,68,1,,7587.880067,7866.974787,1.75
109299,2,4,,,5555.401413,0,5
109300,2,54,1,,20550.01905,23643.30481,5
109301,2,6,,,4309.485311,4813.499237,0.48
109302,2,11,,,1824.224927,2026.343571,1.59
109303,1,18,,,3740.39691,3910.238257,1.03
109304,2,9,,,10460.17439,11915.31693,3.5
109305,1,55,1,,6649.793457,7592.522584,5
109306,1,2,,,23221.15872,26757.6744,1.02
109307,1,47,1,,15248.7439,16989.21554,1.38
109308,1,1,,,5100.21183,5554.221025,1.59
109309,1,5,,,24011.45326,27641.01203,0.87
109310,1,8,,,19014.40143,22172.8264,5
109311,2,36,3,3,28442.97699,0,3.39
109312,2,48,1,,125710.809,133567.95,5
109313,1,63,1,,89118.34442,101702.7886,5
109314,1,0,,,4700.640868,5079.997986,1.72
109315,2,30,3,2,7299.490539,7489.193596,2.16
109316,2,62,2,,6119.732139,6448.398885,0.07
109317,2,28,3,2,13686.83527,14593.73521,
109318,2,5,,,3046.808358,3365.456151,0.69
109319,1,22,3,,10545.76088,11681.71417,4.93
109320,2,11,,,6298.858202,6568.732519,0.91
109321,2,19,,,3886.245638,4204.73603,0.06
109322,2,45,1,,14839.48556,14880.30567,2.79
109323,1,22,3,,19165.2307,21061.65228,2.38
109324,2,49,2,,10163.5819,11226.90656,2.74
109325,1,7,,,8808.441186,10151.65425,4.78
109326,2,44,1,2,83913.33379,94345.37014,5
109327,2,58,1,,20793.08954,20026.35896,4.86
109328,1,2,,,2445.817726,2713.254057,0.73
109329,1,0,,,3032.451177,3322.444777,1.57
109330,1,76,1,,19197.13663,20618.19805,2.37
109331,2,19,,,23659.46774,24886.41655,0.65
109332,1,33,3,,12644.77658,13614.17816,
109333,2,41,1,2,15305.7676,16401.59972,5
109334,2,54,1,,21464.41593,25263.68491,1
109335,2,55,3,,9674.274532,10453.7703,0.11
109336,1,35,1,,28042.39716,28203.63308,3.65
109337,2,48,2,,7670.954552,7777.320353,1.18
109338,2,10,,,5237.435501,5770.576417,2.46
109339,1,14,,,9964.214591,0,1.73
109340,1,44,1,,16692.01481,17860.75054,1.13
109341,2,5,,,21914.04409,25754.45301,5
109342,2,43,2,2,63669.63904,67850.68278,1.08
109343,1,69,1,,106214.0337,0,4.31
109344,1,1,,,11078.60508,12973.94298,0.33
109345,1,0,,,3556.037944,3846.226928,0.38
109346,2,23,3,2,11577.56693,12652.07517,1.15
109347,1,2,,,13140.65261,15488.2659,0.73
109348,2,63,1,,34811.82742,37103.82064,5
109349,2,47,1,,32903.563,32224.7873,
109350,1,59,3,,13693.37698,14768.6033,1.25
109351,1,58,2,,12686.95692,13295.17285,0.92
109352,1,10,,,7869.179526,9511.039806,5
109353,2,46,1,,16173.23201,15944.72831,
109354,2,66,2,,7852.874891,0,
109355,2,1,,,3072.661611,0,
109356,2,1,,,9758.906335,10291.73421,
109357,2,0,,,4168.110867,4403.29151,5
109358,2,14,,,132131.7034,138435.9781,
109359,1,24,1,,13141.89377,0,1.44
109360,2,14,,,22688.29396,25067.49753,
109361,1,17,,,8629.285118,8772.614689,1.04
109362,2,3,,,6007.404244,6028.835095,0.01
109363,1,29,1,,24714.14134,0,5
109364,2,8,,,5672.058525,6442.522972,1.2
109365,2,49,1,,23567.30886,25016.05157,1.15
109366,2,10,,,14268.66828,16010.96659,5
109367,1,80,2,,7575.058131,8287.717061,
109368,2,15,,,3891.621308,4375.044096,1.75
109369,2,80,2,,12296.85292,13635.8449,2.07
109370,1,4,,,4396.963881,4949.448276,
109371,1,62,1,,5337.058368,5571.469217,4.56
109372,2,13,,,19302.21592,20075.46761,0.46
109373,2,30,3,2,14343.32247,14611.85855,1.22
109374,1,5,,,2968.178918,3217.260775,1.14
109375,1,2,,,10320.26414,11627.03499,3.98
109376,1,23,3,,43093.73939,51348.58842,3.71
109377,1,41,2,,42210.16822,41412.47406,2.57
109378,1,36,3,,42284.21646,45783.3182,5
109379,2,66,1,,35346.54503,44769.8187,1.52
109380,1,15,,,25637.27001,26852.4198,2.25
109381,1,13,,,21946.77561,23174.27098,1.22
109382,2,70,1,,8443.274765,9440.499355,1.7
109383,1,8,,,55046.29006,64507.2748,3.05
109384,2,13,,,39016.61842,41248.23384,1.36
109385,2,2,,,3964.991031,0,1.65
109386,1,0,,,4709.186597,4952.045038,0.61
109387,2,17,,,24751.0937,26423.54279,1.65
109388,2,11,,,3541.292887,3758.471411,1.92
109389,1,56,1,,11139.26233,12933.27083,5
109390,2,44,1,2,6775.204884,6931.067216,2.9
109391,2,56,1,,14819.24604,14674.31563,1.64
109392,1,79,2,,6993.537331,7392.383739,
109393,1,76,2,,5247.931201,5510.380776,0.89
109394,2,29,3,2,9360.146917,10118.84941,0.17
109395,1,56,1,,13483.83864,13879.61854,3.92
109396,2,37,2,2,12300.47763,12988.80997,2.38
109397,2,47,1,,27881.58247,27929.49843,2.77
109398,2,16,,,4747.639086,5394.657625,
109399,2,15,,,14266.87208,14985.52707,0.76
109400,1,9,,,30074.62118,33847.58434,5
109401,2,80,2,,52398.9369,0,1.86
109402,1,80,1,,32724.30179,0,2.28
109403,1,30,1,,21808.0943,24116.31542,5
109404,2,23,1,2,65772.82425,68310.74759,0.91
109405,2,32,1,2,37510.19461,40402.1561,0.61
109406,2,1,,,3897.599053,4319.060941,0.84
109407,1,30,1,,9378.557513,0,2.01
109408,1,51,1,,12561.02609,12837.96414,1.63
109409,2,8,,,8053.296025,8471.297623,0.9
109410,2,5,,,9568.447587,10860.49346,4.14
109411,2,55,1,,23366.74764,23374.37487,5
109412,2,7,,,2735.63693,2834.573932,
109413,2,59,1,,11186.29537,12696.60134,
109414,2,62,1,,10667.50927,11671.75945,0.77
109415,2,61,1,,13687.05172,14418.82309,3.69
109416,1,60,2,,21227.85449,24735.57233,1.54
109417,1,17,,,17506.56571,19059.84841,1.14
109418,2,1,,,3743.570541,4069.426889,0.61
109419,2,1,,,9220.185751,9893.513573,1.67
109420,1,3,,,33240.10438,37665.35766,3.05
109421,2,0,,,7358.222225,7861.916236,2.81
109422,2,1,,,9814.350285,10968.50088,0.56
109423,2,28,2,2,27046.89249,30320.10805,
109424,1,11,,,18244.43029,21741.81059,5
109425,1,8,,,14909.57663,17382.93991,5
109426,2,61,1,,16587.11461,17444.17632,4.72
109427,2,11,,,31884.60281,37398.9258,5
109428,1,80,1,,16257.5287,18282.53851,2.37
109429,1,27,1,,16536.21303,19872.42495,0.81
109430,2,1,,,6076.764985,7142.737296,2.38
109431,2,45,1,,8663.022452,8443.23462,5
109432,2,44,3,2,6988.357343,7578.581746,3.66
109433,1,5,,,6169.323239,6811.299155,0.94
109434,1,15,,,9117.866662,9758.75534,0.51
109435,1,62,1,,14675.71017,15120.44269,0.46
109436,1,80,1,,3465.124395,3494.175689,5
109437,2,80,2,,18288.78916,20492.82447,0.64
109438,2,0,,,3584.773988,3912.87508,3.37
109439,2,59,2,,11972.15669,12824.37051,1.8
109440,1,18,,,22282.22153,22124.98368,
109441,2,20,3,2,86649.29774,93014.97908,0.41
109442,1,2,,,2731.454465,3030.123558,1.53
109443,1,1,,,1439.623468,1560.432926,1.9
109444,1,21,3,,16017.26853,16879.81819,1.07
109445,1,11,,,4234.172519,4605.69199,
109446,1,12,,,19839.25522,21581.18889,0.85
109447,2,25,1,1,50390.53343,51420.18811,1.44
109448,1,0,,,11164.06838,13319.25699,4.92
109449,1,13,,,18295.68007,19149.73321,2.03
109450,1,29,1,,4616.310332,4862.353194,0.61
109451,1,37,1,,9679.377261,10713.47266,3.43
109452,1,1,,,5883.004555,6642.687456,
109453,1,7,,,5560.518359,5957.617489,0.06
